,0,1,2
AT2G30490,AT2G30490,"ATC4H,  C4H,  CINNAMATE 4-HYDROXYLASE,  CINNAMATE-4-HYDROXYLASE,  CYP73A5,  REDUCED EPRDERMAL FLUORESCENCE 3,  REF3","Encodes a cinnamate-4-hydroxylase. Mutations in this gene impact phenylpropanoid metabolism, growth and development."
AT2G30920,AT2G30920,"ATCOQ3,  COENZYME Q 3,  COQ3,  EMB3002,  EMBRYO DEFECTIVE 3002","The enzyme encoded by this gene has been shown to complement the Saccharomyces cerevisiae coq3 mutation and, therefore, to have hexaprenyldihydroxybenzoate methyltransferase activity.  It is however likely that, in Arabidopsis, the enzyme catalyzes the methylation of nonaprenyldihydroxybenzoate as it is the prevalent polyprenoid in this plant species. The enzyme is a mitochondrial-localized methyltransferase involved in ubiquinone biosynthesis."
AT2G31810,AT2G31810,"ACETOLACTATE SYNTHASE SMALL SUBUNIT 1,  AHASS1,  AIP1,  ALS-INTERACTING PROTEIN1",ACT domain-containing small subunit of acetolactate synthase protein;(source:Araport11)
AT2G31955,AT2G31955,"CNX2,  COFACTOR OF NITRATE REDUCTASE AND XANTHINE DEHYDROGENASE 2","COFACTOR OF NITRATE REDUCTASE AND XANTHINE DEHYDROGENASE 2. Encodes a protein involved in molybdenum cofactor biosynthesis. Homologous to E.coli moaA. Expression is abundant in all tissues examined, particularly in roots. Appears to have targeting signals for chloroplast or mitochondria."
AT2G31970,AT2G31970,"ATRAD50,  RAD50","Encodes the Arabidopsis RAD50 homologue.  It is involved in double strand break repair. Component of the meiotic recombination complex that processes  meiotic double-strand-breaks to produce single-stranded DNA  ends, which act in the homology search and recombination.  Accumulates in the nucleus during meiotic prophase, a process regulated by PHS1."
AT2G32260,AT2G32260,"ATCCT1,  CCT1,  PHOSPHORYLCHOLINE CYTIDYLYLTRANSFERASE",phosphorylcholine cytidylyltransferase;(source:Araport11)
AT2G32290,AT2G32290,"BAM6,  BETA-AMYLASE 5,  BETA-AMYLASE 6,  BMY5",beta-amylase 6;(source:Araport11)
AT2G35040,AT2G35040,,AICARFT/IMPCHase bienzyme family protein;(source:Araport11)
AT2G36230,AT2G36230,"ALBINO AND PALE GREEN 10,  APG10,  HISN3",Encodes a BBMII isomerase involved in histidine  biosynthesis.
AT2G36305,AT2G36305,"ARABIDOPSIS THALIANA FARNESYLATED PROTEIN-CONVERTING ENZYME-2,  ATFACE-2,  FACE2,  FARNESYLATED PROTEIN-CONVERTING ENZYME 2,  RAS-CONVERTING ENZYME 1,  RCE1","Encodes an endoprotease involved in the cleavage of prenylated CaaX-box proteins. In vitro, it can cleave a farnesylated tetrapeptide and it can promote membrane-localization of a farnesylated GFP:AtROP9 protein when both are expressed in yeast."
AT2G36310,AT2G36310,"NSH1,  NUCLEOSIDE HYDROLASE 1,  URH1,  URIDINE-RIBOHYDROLASE 1",Encodes a cytoplasmic nucleoside hydrolase. It has the highest levels of activity with uridine followed by xanthosine. It shows little activity with inosine and none with cytidine. Mutant analyses indicate that it plays a role in purine and pyrimidine catabolism.
AT2G36390,AT2G36390,"BE3,  BRANCHING ENZYME 3,  SBE2.1,  STARCH BRANCHING ENZYME 2.1",Encodes a starch branching enzyme (EC.2.4.1.18) similar to SBE2 from maize and rice. Expressed throughout plant tissues. The mRNA is cell-to-cell mobile.
AT2G36790,AT2G36790,"UDP-GLUCOSYL TRANSFERASE 73C6,  UGT73C6","The At2g36790 gene encodes a UDP-glucose:flavonol-3-O-glycoside-7-O-glucosyltransferase (UGT73C6)attaching a glucosyl residue to the 7-O-position of the flavonols kaempferol, quercetin and their 3-O-glycoside derivatives."
AT2G37040,AT2G37040,"ATPAL1,  PAL1,  PHE AMMONIA LYASE 1","Encodes PAL1, a phenylalanine ammonia-lyase.  Arabidopsis has four PALs: AT2G37040 (PAL1), AT3G53260 (PAL2), AT5G04230 (PAL3) and AT3G10340 (PAL4)."
AT2G37250,AT2G37250,"ADENOSINE KINASE,  ADK,  ATPADK1",encodes adenylate kinase that is located in the chloroplast involved in the coordination of metabolism and growth
AT2G37500,AT2G37500,,arginine biosynthesis protein ArgJ family;(source:Araport11)
AT2G37690,AT2G37690,,"phosphoribosylaminoimidazole carboxylase, putative / AIR carboxylase;(source:Araport11)"
AT2G37790,AT2G37790,"AKR4C10,  ALDO-KETO REDUCTASE FAMILY 4 MEMBER C10",NAD(P)-linked oxidoreductase superfamily protein;(source:Araport11)
AT2G37840,AT2G37840,"ATG1C,  AUTOPHAGY-RELATED PROTEIN 1C",Protein kinase superfamily protein;(source:Araport11)
AT2G38050,AT2G38050,"ATDET2,  DWARF 6,  DWF6",Similar to mammalian steroid-5-alpha-reductase. Involved in the brassinolide biosynthetic pathway.
AT2G38230,AT2G38230,"ARABIDOPSIS THALIANA PYRIDOXINE BIOSYNTHESIS 1.1,  ATPDX1.1,  PDX1.1,  PYRIDOXINE BIOSYNTHESIS 1.1",Encodes a protein predicted to function in tandem with PDX2 to form glutamine amidotransferase complex with involved in vitamin B6 biosynthesis. The mRNA is cell-to-cell mobile.
AT2G38280,AT2G38280,"ADENOSINE 5'-MONOPHOSPHATE DEAMINASE,  ATAMPD,  EMBRYONIC FACTOR1,  FAC1",Encodes a protein with in vitro AMP deaminase activity that is involved in embryogenesis. Homozygous mutant embryos fail to develop past the zygote stage.
AT2G38400,AT2G38400,"AGT3,  ALANINE:GLYOXYLATE AMINOTRANSFERASE 3","alanine:glyoxylate aminotransferase 2 homolog (AGT3) mRNA,"
AT2G38470,AT2G38470,"ATWRKY33,  WRKY DNA-BINDING PROTEIN 33,  WRKY33",Member of the plant WRKY transcription factor family.  Regulates the antagonistic relationship between defense pathways mediating responses to P. syringae and necrotrophic fungal pathogens.  Located in nucleus. Involved in response to various abiotic stresses - especially salt stress. Regulates cytochrome P450 gene CYP94B1 to control apoplastic barrier formation in roots to confer salt tolerance.
AT2G38670,AT2G38670,"PECT1,  PHOSPHORYLETHANOLAMINE CYTIDYLYLTRANSFERASE 1","Encodes a mitochondrial ethanolamine-phosphate cytidylyltransferase, involved in phosphatidylethanolamine (PE) biosynthesis."
AT2G38700,AT2G38700,"ATMDD1,  ATMVD1,  MDD1,  MEVALONATE 5-DIPHOSPHATE DECARBOXYLASE 1,  MEVALONATE DIPHOSPHATE DECARBOXYLASE 1,  MVD1","Encodes mevalonate diphosphate decarboxylase, the enzyme that catalyzes the synthesis of isopentenyl diphosphate, used in sterol and isoprenoid biosynthesis. The protein appears to form a homodimeric complex. Incidentally, it was shown that the Arabidopsis MVD protein could also interact with its yeast homolog to form a heterodimer."
AT2G38860,AT2G38860,"DJ-1E,  DJ1E,  YLS5",Encodes protease I (pfpI)-like protein YLS5.
AT2G39290,AT2G39290,"PGP1,  PGPS1,  PGS1,  PHOSPHATIDYLGLYCEROLPHOSPHATE SYNTHASE 1",Encodes a phosphatidylglycerolphosphate synthase 2C which is dual-targeted into chloroplasts and mitochondria. Mutant plants have mutant chloroplasts but normal mitochondria.
AT2G39630,AT2G39630,,Encodes a putative dolichyl-phosphate β-glucosyltransferase.
AT2G39800,AT2G39800,"ATP5CS,  DELTA1-PYRROLINE-5-CARBOXYLATE SYNTHASE 1,  P5CS1","encodes a delta1-pyrroline-5-carboxylate synthase that catalyzes the rate-limiting enzyme in the biosynthesis of proline. Gene is expressed in reproductive organs and tissues under non-stress conditions but in the whole plant under water-limiting condition. Expression is also induced by abscisic acid and salt stress in a light-dependent manner. encodes a delta1-pyrroline-5-carboxylate synthase that catalyzes the rate-limiting enzyme in the biosynthesis of proline. Gene is expressed in reproductive organs and tissues under non-stress conditions but in the whole plant under water-limiting condition. Expression is also induced by abscisic acid and salt stress in a light-dependent manner. P5CS1 appears to be involved in salt stress responses related to proline accumulation, including protection from reactive oxidative species. P5CS1 appears to be present in different cells and/or different subcellular locations from P5CS2 in a tissue-dependent manner."
AT2G39940,AT2G39940,"COI1,  CORONATINE INSENSITIVE 1","Encodes a protein containing Leu-rich repeats  and a degenerate F-box motif. Associates with AtCUL1, AtRbx1, and the Skp1-like proteins ASK1 and ASK2 to assemble SCF COI1 ubiquitin-ligase complexes in planta. A single amino acid substitution in the F-box motif of COI1 abolishes the formation of the SCF(COI1) complexes and results in loss of the JA response. Required for wound- and jasmonates-induced transcriptional regulation. Amino acid mutations  in COI1 distinctively affect jasmonate-regulated male fertility.CFA-Ile, CFA-Leu, CFA-Val, CFA-Met and CFA-Ala could not inhibit the root length and restoration of fertility in coi1-1 mutants."
AT2G40116,AT2G40116,,Phosphoinositide-specific phospholipase C family protein;(source:Araport11)
AT2G40190,AT2G40190,"LEAF WILTING 3,  LEW3","Encodes a putative alpha-1,2-mannosyltransferase in N-linked glycoprotein (homologous to yeast ALG11).  Plays vital roles in cell-wall biosynthesis and abiotic stress response. Located in  endoplasmic reticulum membrane."
AT2G40290,AT2G40290,,Encodes an eIF2alpha homolog that can be phosphorylated by GCN2 in vitro.
AT2G40490,AT2G40490,HEME2,Uroporphyrinogen decarboxylase;(source:Araport11)
AT2G40690,AT2G40690,"GLY1,  SFD1,  SUPPRESSOR OF FATTY ACID DESATURASE DEFICIENCY 1","Encodes a putative dihydroxyacetone phosphate (DHAP) reductase involved  in glycerol-3-phosphate supply within the chloroplast for synthesis of glycerolipids. Mutants have reduced levels of hexadecatrienoic acid, which is rescued by exogenous  glycerol-3-phosphate. This gene appears to be involved in the flux of fatty acids in the prokaryotic glyerolipid biosynthesis pathway."
AT2G40840,AT2G40840,"DISPROPORTIONATING ENZYME 2,  DPE2","Encodes a cytosolic protein with transglucosidase and amylomaltase activity.   It is an essential component of the pathway from starch to sucrose and cellular metabolism in leaves at night. The protein binds to heteroglycans and utilizes glucose, mannose and xylose as acceptors. Fucose and galactose can also act as acceptors but less efficiently than the previous three. It was also was also recently reported to act on maltodextrins.  On the other hand, arabinose and fructose were not efficiently used.  Its role probably includes metabolizing maltose exported from the chloroplast. Studies using maltose extracted from the double mutant be2-1 be3-2 showed that this enzyme is preferentially active of β-maltose. The mRNA is cell-to-cell mobile."
AT2G40890,AT2G40890,"CYP98A3,  CYTOCHROME P450, FAMILY 98, SUBFAMILY A, POLYPEPTIDE 3,  REDUCED EPIDERMAL FLUORESCENCE 8,  REF8","encodes coumarate 3-hydroxylase (C3H), a P450-dependent monooxygenase. Involved in lignin biosynthesis and flavonoid biosynthesis.  Also affects the biosynthesis of coumarins such as scopoletin and scopolin as a branching-out-pathway from the phenylpropanoid acid level."
AT2G41220,AT2G41220,"GLU2,  GLUTAMATE SYNTHASE 2",Encodes a gene whose sequence is similar to ferredoxin dependent glutamate synthase (Fd-GOGAT). Expression is most abundant in root. The mRNA is cell-to-cell mobile.
AT2G41490,AT2G41490,"GPT,  UDP-GLCNAC-ADOLICHOL PHOSPHATE GLCNAC-1-P-TRANSFERASE",UDP-GlcNAc:dolichol phosphate N-acetylglucosamine-1-phosphate transferase
AT2G41880,AT2G41880,"AGK1,  GK-1,  GUANYLATE KINASE 1",Guanylate kinase. Involved in nucleotide metabolism.
AT2G42070,AT2G42070,"ARABIDOPSIS THALIANA NUDIX HYDROLASE HOMOLOG 23,  ATNUDT23,  ATNUDX23,  NUDIX HYDROLASE HOMOLOG 23,  NUDX23",Encodes a plastid-localized Nudix hydrolase that has FAD pyrophosphohydrolase activity. Negative feedback regulation of the metabolism of flavins through the hydrolysis of FAD by AtNUDX23 in plastids is involved in the flavin homeostasis in plant cells.
AT2G42790,AT2G42790,"CITRATE SYNTHASE 3,  CSY3",Encodes a peroxisomal citrate synthase that is expressed throughout seedling and shoot development.
AT2G43090,AT2G43090,"IPMI SSU1,  ISOPROPYLMALATE ISOMERASE SMALL SUBUNIT 1","One of three genes encoding the small subunit of isopropylmalate isomerase, a heterodimer consisting of a large and a small subunit.  A function in both leucine biosynthesis and the first cycle of Met chain elongation has been demonstrated for this subunit. The mRNA is cell-to-cell mobile."
AT2G43360,AT2G43360,"BIO2,  BIOB,  BIOTIN AUXOTROPH 2,  BIOTIN AUXOTROPH B,  EMB49",Catalyzes the conversion of dethiobiotin to biotin.
AT2G43760,AT2G43760,"CNX6,  COFACTOR OF NITRATE REDUCTASE AND XANTHINE DEHYDROGENASE 6",molybdopterin biosynthesis MoaE family protein;(source:Araport11)
AT2G43790,AT2G43790,"ATMAPK6,  ATMPK6,  MAP KINASE 6,  MAPK6,  MPK6","Encodes a MAP kinase induced by pathogens, ethylene biosynthesis, oxidative stress and osmotic stress.Also involved in ovule development. Homozygous mutants in a MPK3 heterozygous background are female sterile due to defects in integument development.MPK6 appears to be associated with the microsomal compartment and may be involved in mediating secretory processes. The mRNA is cell-to-cell mobile."
AT2G43980,AT2G43980,"ATITPK4,  INOSITOL 1,3,4-TRISPHOSPHATE 5/6-KINASE 4,  ITPK4","inositol 1,3,4-trisphosphate 5/6-kinase 4;(source:Araport11)"
AT2G44040,AT2G44040,,"Dihydrodipicolinate reductase, bacterial/plant;(source:Araport11)"
AT2G44050,AT2G44050,"COI1 SUPPRESSOR1,  CORONATINE INSENSITIVE1 SUPPRESSOR,  COS1","6,7-dimethyl-8-ribityllumazine synthase / DMRL synthase / lumazine synthase / riboflavin synthase [Arabidopsis thaliana]. Acts in the jasmonic acid signaling pathway. The mRNA is cell-to-cell mobile."
AT2G44140,AT2G44140,"ATG4A,  AUTOPHAGY 4A",Autophagy protein
AT2G44160,AT2G44160,"METHYLENETETRAHYDROFOLATE REDUCTASE 2,  MTHFR2","methylenetetrahydrofolate reductase MTHFR2 mRNA, complete The mRNA is cell-to-cell mobile."
AT2G44520,AT2G44520,"COX10,  CYTOCHROME C OXIDASE 10",cytochrome c oxidase 10;(source:Araport11)
AT2G44660,AT2G44660,,"ALG6, ALG8 glycosyltransferase family;(source:Araport11)"
AT2G44810,AT2G44810,"DAD1,  DEFECTIVE ANTHER DEHISCENCE 1","Mutant has defects in anther dehiscence, pollen maturation, and flower opening.  The DAD1 protein is a chloroplastic phospholipase A1 that catalyzes the initial step of jasmonic acid biosynthesis."
AT2G44990,AT2G44990,"ATCCD7,  CAROTENOID CLEAVAGE DIOXYGENASE 7,  CCD7,  MAX3",More Axillary Branching; carotenoid cleavage dioxygenases.
AT2G45290,AT2G45290,"TKL2,  TRANSKETOLASE 2",Transketolase;(source:Araport11)
AT2G45440,AT2G45440,"DHDPS2,  DIHYDRODIPICOLINATE SYNTHASE 2",Encodes a protein that likely has dihydropicolinate synthase activity based on its mutant phenotype of decreased lysine levels and increased aspartate levels. The mutant also has increased levels of threonine. The enzyme is predicted to localize to the chloroplast.
AT2G45695,AT2G45695,"UBIQUITIN-RELATED MODIFIER 11,  URM11",Ubiquitin related modifier 1;(source:Araport11)
AT2G45790,AT2G45790,"ATPMM,  PHOSPHOMANNOMUTASE,  PMM","Encodes a cytoplasmic phosphomannomutase, involved in ascorbate biosynthesis"
AT2G46110,AT2G46110,"KETOPANTOATE HYDROXYMETHYLTRANSFERASE 1,  KPHMT1,  PANB1",Encodes a ketopentoate hydroxymethyltransferase that appears to localize to the mitochondria. This protein is expected to play a role in pantothenate (vitamin B5) biosynthesis.
AT2G46580,AT2G46580,,Pyridoxamine 5-phosphate oxidase family protein;(source:Araport11)
AT2G46790,AT2G46790,"APRR9,  ARABIDOPSIS PSEUDO-RESPONSE REGULATOR 9,  PRR9,  PSEUDO-RESPONSE REGULATOR 9,  TL1,  TOC1-LIKE PROTEIN 1","Pseudo-response regulator PRR9. Involved in clock function. PRR7 and PRR9 are partially redundant essential components of a temperature-sensitive circadian system. CCA1 and LHY had a positive effect on PRR9. Interact with TOC1 in a yeast two-hybrid assay. Acts as transcriptional repressor of CCA1 and LHY.  Acts additively with EC, PRR5 and PRR7 to regulate hypocotyl growth under photoperiodic conditions."
AT2G46830,AT2G46830,"ATCCA1,  CCA1,  CIRCADIAN CLOCK ASSOCIATED 1",Encodes a transcriptional repressor that performs overlapping functions with LHY in a regulatory feedback loop that is closely associated with the circadian oscillator of Arabidopsis. Binds to the evening element in the promoter of TOC1 and represses TOC1 transcription. CCA1 and LHY colocalize in the nucleus and form heterodimers in vivo. CCA1 and LHY function synergistically in regulating circadian rhythms of Arabidopsis. CCA1 binds the GI promoter.
AT2G47510,AT2G47510,"FUM1,  FUMARASE 1","Encodes a mitochondrial-localized protein. The FUM1 gene appears to be essential, suggesting that FUM1 may play a crucial role as a fumarase in the tricarboxylic acid cycle."
AT2G47760,AT2G47760,"ALG3,  ARABIDOPSIS THALIANA ASPARAGINE-LINKED GLYCOSYLATION 3,  ASPARAGINE-LINKED GLYCOSYLATION 3,  ATALG3","Encodes an α-1,3-mannosyltransferase. Plants with mutations in the ALG3 protein have abnormal gylcoslation profiles. They also exhibit abnormal responses to MAMPs possibly because the glycan properties of FL22 are affected."
AT2G47970,AT2G47970,,Nuclear pore localization protein NPL4;(source:Araport11)
AT3G01260,AT3G01260,,Galactose mutarotase-like superfamily protein;(source:Araport11)
AT3G01310,AT3G01310,"ARABIDOPSIS HOMOLOG OF YEAST VIP1 1,  ATVIP1,  VIH2,  VIP HOMOLOG2,  VIP1,  VIP1 HOMOLOG 1","Encodes a functional VIP1/PPIP5K-type ATP-grasp kinase that is involved in both InsP6 to InsP7 conversion and InsP7 to InsP8 conversion, producing the InsP8 cofactor of the ASK1-COI1-JAZ-jasmonate co-receptor complex. It is the major isoform in plants, is required for jasmonate-dependent defenses, and plays an important role in plant defenses against necrotrophic fungi and insect herbivores."
AT3G01380,AT3G01380,,sulfatase and phosphatidylinositolglycan class N domain-containing protein;(source:Araport11)
AT3G01590,AT3G01590,,Galactose mutarotase-like superfamily protein;(source:Araport11)
AT3G01640,AT3G01640,"ARABIDOPSIS THALIANA GLUCURONOKINASE,  ATGLCAK,  GLCAK,  GLUCURONOKINASE G",AtGlcAK is a sugar kinase able to phosphorylate D-GlcA to D-GlcA-1-phosphate in the presence of ATP.
AT3G01910,AT3G01910,"AT-SO,  ATSO,  SOX,  SULFITE OXIDASE",Encodes a homodimeric Mo-enzyme with molybdopterin as organic component of the molybdenum cofactor.  It lacks the heme domain that other eukaryotic Mo-enzymes possess and has no redox-active centers other than the molybdenum.  SO protein has been found in all parts of the plant. The plant SO combines its enzymatic  sulfite oxidation with a subsequent nonenzymatic step using its reaction product H2O2 as intermediate for oxidizing another molecule of sulfite.
AT3G02230,AT3G02230,"ARABIDOPSIS THALIANA REVERSIBLY GLYCOSYLATED POLYPEPTIDE 1,  ATRGP1,  REVERSIBLY GLYCOSYLATED POLYPEPTIDE 1,  RGP1",RGP1 is a UDP-arabinose mutase that catalyzes the interconversion between the pyranose and furanose forms of UDP-L-arabinose. It appears to be required for proper cell wall formation. rgp1/rgp2 (at5g15650) double mutants have a male gametophyte lethal phenotype. RGP1 fusion proteins can be found in the cytosol and peripherally associated with the Golgi apparatus. The mRNA is cell-to-cell mobile.
AT3G02470,AT3G02470,"S-ADENOSYLMETHIONINE DECARBOXYLASE,  SAMDC",Encodes a S-adenosylmethionine decarboxylase involved in polyamine biosynthesis.
AT3G02580,AT3G02580,"BOULE 1,  BUL1,  DWARF 7,  DWF7,  STE1,  STEROL 1","Brassinosteroid biosynthetic enzyme, catalyzes delta7 sterol C-5 desaturation step.  Mutant has dwarf phenotype."
AT3G02680,AT3G02680,"ATNBS1,  NBS1,  NIJMEGEN BREAKAGE SYNDROME 1","DNA repair and meiotic recombination protein, component of MRE11 complex with RAD50 and MRE11"
AT3G02780,AT3G02780,"ATISOPENTENYL DIPHOSPHE ISOMERASE 2,  IDI2,  IPIAT1,  IPP2,  ISOPENTENYL PYROPHOSPHATE:DIMETHYLALLYL PYROPHOSPHATE ISOMERASE 2","Encodes a protein with isopentenyl diphosphate:dimethylallyl diphosphate isomerase activity. There is genetic evidence that it functions in the mevalonate, but not the MEP biosynthetic pathway."
AT3G02870,AT3G02870,"GPP,  L-GALACTOSE 1-PHOSPHATE PHOSPHATASE,  VTC4","Encodes a L-galactose-1-phosphate phosphatase, involved in ascorbate biosynthesis."
AT3G03250,AT3G03250,"ATUGP1,  UDP-GLUCOSE PYROPHOSPHORYLASE,  UDP-GLUCOSE PYROPHOSPHORYLASE 1,  UGP,  UGP1",Is thought to encode a cytosolic UDP-glucose pyrophosphorylase with strong similarity to potato UTP--glucose-1-phosphate uridylyltransferase.  Downregulated by flooding.
AT3G03480,AT3G03480,"ACETYL COA:(Z)-3-HEXEN-1-OL ACETYLTRANSFERASE,  CHAT",acetyl CoA:(Z)-3-hexen-1-ol acetyltransferase;(source:Araport11)
AT3G03520,AT3G03520,"NON-SPECIFIC PHOSPHOLIPASE C3,  NPC3",Lysophosphatidic acid phosphatase highly expressed during phosphate starvation and abiotic stresses.  Role in lipid synthesis.
AT3G03630,AT3G03630,"CS26,  CYSTEINE SYNTHASE 26",Encodes a protein that possesses S-sulfocysteine synthase activity and lacks O-acetylserien(thiol)lyase activity.
AT3G03780,AT3G03780,"ATMS2,  METHIONINE SYNTHASE 2,  MS2","Encodes a cytosolic methionine synthase, involved in methionine regeneration via the activated methyl cycle (or SAM cycle)"
AT3G03910,AT3G03910,"GDH3,  GLUTAMATE DEHYDROGENASE 3",GDH3 encodes a member of the glutamate dehydrogenease family. Its expression is upregulated in response to cytokinin and it may play a role in the control of nitrogen metabolism in leaf development.
AT3G04680,AT3G04680,"CLP-SIMILAR PROTEIN 3,  CLPS3","Encodes a nuclear protein that functions in mRNA processing. Mutations in this gene cause embryo lethality and reduced transmission through the female gametophyte. Over-expression of a CLPS3:TAP protein changes the relative levels of two alternatively processed FCA transcripts. It also causes abnormal phyllotaxy and flower development, early flowering under long and short days, and increased levels of CUC1 and WUS expression."
AT3G04870,AT3G04870,"PDE181,  PIGMENT DEFECTIVE EMBRYO 181,  SPC1,  SPONTANEOUS CELL DEATH 1,  ZDS,  ZETA-CAROTENE DESATURASE","Involved in the biosynthesis of carotenes and xanthophylls, reduces zeta-carotene to lycopene."
AT3G05120,AT3G05120,"ATGID1A,  GA INSENSITIVE DWARF1A,  GID1A","Encodes a gibberellin (GA) receptor ortholog of the rice GA receptor gene (OsGID1). Has GA-binding activity, showing higher affinity to GA4. Interacts with DELLA proteins in vivo in the presence of GA4. The DELLA region alone can interact with GID1A in GA-dependent manner in a Y2H assay."
AT3G06060,AT3G06060,TSC10A,"Encodes one of the Arabidopsis proteins (At3g06060/TSC10A and At5g19200/TSC10B) with significant similarity to the yeast 3-ketodihydrosphinganine (3-KDS) reductase, Tsc10p.  Both TSC10A and TSC10B are bona fide 3-KDS reductase as shown by complementation experiment in yeast."
AT3G06110,AT3G06110,"ARABIDOPSIS MAPK PHOSPHATASE 2,  ATMKP2,  DSPTP1B,  DUAL-SPECIFICITY PROTEIN PHOSPHATASE 1B,  MAPK PHOSPHATASE 2,  MKP2",Encodes a nuclear-localized MAP kinase phosphatase. Plants with reduced levels of MKP2 transcripts are hypersensitive to ozone and ozone-mediated activation of MPK3 and MPK6 is prolonged in these plants.
AT3G06350,AT3G06350,"EMB3004,  EMBRYO DEFECTIVE 3004,  MATERNAL EFFECT EMBRYO ARREST 32,  MEE32",Encodes a bi-functional dehydroquinate-shikimate dehydrogenase enzyme that catalyzes two steps in the chorismate biosynthesis pathway.
AT3G06510,AT3G06510,"ATSFR2,  SENSITIVE TO FREEZING 2,  SFR2","Encodes a protein with beta-glucosidase and galactosyltransferase activity, mutants show increased sensitivity to freezing.  Though it is classified as a family I glycosyl hydrolase, it has no hydrolase activity in vitro."
AT3G06810,AT3G06810,"IBA-RESPONSE 3,  IBR3","Encodes a protein with similarity to acyl-CoA dehydrogenases. Mutations in IBR3 render   plants resistant to indole-3-butryic acid, a putative storage form of the biologically active auxin IAA  (indole-3-acetic acid). IBR3 is hypothesized to carry out the second step in a  β-oxidation-like process of IBA metabolism in Arabidopsis.  Though its subcellular location has not been determined, IBR3 has a peroxisomal targeting  sequence and  two other putative IBA metabolic enzymes (IBR1 and IBR10)  can be found in this organelle. No specific enzymatic activity has been  documented for IBR3, but double mutant analyses with CHY1 argue against a role for IBR3 in general fatty  acid β-oxidation. The mRNA is cell-to-cell mobile."
AT3G06850,AT3G06850,"BCE2,  DARK INDUCIBLE 3,  DIN3,  LTA1",dihydrolipoamide branched chain acyltransferase
AT3G06860,AT3G06860,"ATMFP2,  MFP2,  MULTIFUNCTIONAL PROTEIN 2",Encodes a multifunctional protein. Involved in peroxisomal fatty acid beta oxidation. Loss-of-function mutant lacks hydroxyacyl-CoA dehydrogenase activity and have reduced levels of long-chain enoyl-CoA hydratase activity. The mutant has fewer but larger peroxisomes. The mRNA is cell-to-cell mobile.
AT3G07040,AT3G07040,"RESISTANCE TO P. SYRINGAE PV MACULICOLA 1,  RESISTANCE TO PSEUDOMONAS SYRINGAE 3,  RPM1,  RPS3",Contains an N-terminal tripartite nucleotide binding site and a C-terminal tandem array of leucine-rich repeats. Confers resistance to Pseudomonas syringae strains that carry the avirulence genes avrB and avrRpm1.
AT3G07270,AT3G07270,,GTP cyclohydrolase I;(source:Araport11)
AT3G07525,AT3G07525,"ATATG10,  ATG10,  AUTOPHAGY 10",Encodes an E1 ligase involved in autophagic vesicle formation.
AT3G07560,AT3G07560,"ABERRANT PEROXISOME MORPHOLOGY 2,  APM2,  PEROXIN 13,  PEX13","Encodes peroxin 13 (PEX13) involved in protein transport into peroxisomes, for example, peroxisomal import of nitric oxide synthase."
AT3G07800,AT3G07800,"ATTK1A,  THYMIDINE KINASE 1A,  TK1,  TK1A",Encodes a thymidine kinase that salvages DNA precursors.
AT3G08850,AT3G08850,"ATRAPTOR1B,  RAPTOR1,  RAPTOR1B",Encodes one of two Arabidopsis RAPTOR/KOG1 homologs.  RAPTOR proteins are binding partners of the target of rapamycin kinase that is present in all eukaryotes and play a central role in the stimulation of cell growth and metabolism in response to nutrients.   Mutants show embryo lethal phenotype which occurs at pre-globular stage. May interact with TOR kinase in a rapamycin like signaling pathway. Interacts with TOR and S6K1 in vivo. Overexpression of RAPTOR1 rendered the S6K1 osmotic stress insensitive.
AT3G09150,AT3G09150,"ARABIDOPSIS ELONGATED HYPOCOTYL 2,  ATHY2,  ELONGATED HYPOCOTYL 2,  GENOMES UNCOUPLED 3,  GUN3,  HY2","Required for biosynthesis of the tetrapyrrole phytochrome chromophore phytochromobilin.  Encodes phytochromobilin synthase, a ferredoxin-dependent biliverdin reductase.  It is necessary for coupling the expression of some nuclear genes to the functional state of the chloroplast."
AT3G09820,AT3G09820,"ADENOSINE KINASE 1,  ADK1,  ATADK1",Involved in the salvage synthesis of                      adenylates and methyl recycling
AT3G09840,AT3G09840,"ATCDC48,  ATCDC48A,  CDC48,  CDC48A,  CELL DIVISION CYCLE 48","Encodes a cell division cycle protein, a member of AAA-type ATPases gene family. Expressed throughout the plant in regions of cell division. Within the cell, sub-cellular localization varies depending on the stage of the cell cycle.Mutants in which the expression of CDC48A is altered show defects in cytokinesis, cell expansion and cell differentiation. The mRNA is cell-to-cell mobile."
AT3G10050,AT3G10050,"L-O-METHYLTHREONINE RESISTANT 1,  OMR1",first enzyme in the biosynthetic pathway of isoleucine
AT3G10160,AT3G10160,"A. THALIANA DHFS-FPGS HOMOLOG C,  ATDFC,  DFC,  DHFS-FPGS HOMOLOG C,  FOLYLPOLYGLUTAMATE SYNTHETASE 2,  FPGS2","Encodes a protein with tetrahydrofolylpolyglutamate synthase activity that is located in the mitochondrial matrix. One of the three folylpolyglutamate synthetase isoforms (FPGSs): FPGS1 (At5g05980, plastidic), FPGS2 (At3g10160, mitochondrial) and FPGS3 (At3g55630, cytosolic)."
